fecha;ID_3325225;ID_3497201;ID_1489271;ID_1272719
44013;604506;3012071;1954483;2274965
44044;588701;3274107;2536432;3623647
44075;573441;3433997;1744318;5909571
44105;376448;3856583;1658743;3592718
44136;554130;4517003;1519243;3784418
44166;543411;4608951;1882514;4318021
44197;603954;4552388;1780625;4197738
44228;591918;4406149;2068153;4649313
44256;7179479;4331697;1556288;3711475
44287;577096;4252469;1613760;4151328
44317;718433;4342640;1696725;3807661
44348;702990;4317328;1901988;3845495
44378;712234;3830603;1732933;3843630
44409;694225;4056465;1602149;5405808
44440;5974618;4074014;1936097;4381029
44470;666341;4034838;7790495;4343473
44501;781841;4026480;1828279;4393417
44531;757054;3901877;1941907;4280888
44562;718233;4104242;1797564;3776824
44593;712535;4185539;1672959;5303876
44621;25679433;18348494;21567323;26369900
44652;591004;4328831;1585587;4468641
44682;573487;4336687;1706459;3842063
44713;559490;4159012;1940063;3663677
44743;1032376;3668465;1364855;4770531
44774;535138;3573173;1541844;3935870
44805;501575;3504203;1599256;3744273
44835;509121;3947734;1555622;3665499
